Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PieD.java",1,1,1,1,4,0,3,1,,,,9,0,0,15,,18,18,7,18,,10,0,0,8,,138,28,93,43,24,23,,,,32,57,35,22,,,,,,2,2,2,1,,,1,,,0.25,17,17,17,15
File,"PieDGeneral.java",1,1,1,1,4,0,4,0,,,,6,0,0,9,,10,10,3,10,,9,0,0,1,,85,16,59,22,20,13,,,,18,36,20,16,,,,,,2,2,2,1,,,1,,,0.22,12,12,12,9
File,"PieDUpdate.java",1,1,1,1,5,0,4,0,,,,7,0,0,14,,17,17,8,17,,5,0,0,12,,122,13,94,37,30,20,,,,34,59,33,26,,,,,,3,3,3,3,,,2,,,0.21,18,18,18,16
File,"PiemanM.java",1,1,1,1,4,0,3,1,,,,3,0,0,9,,13,13,2,13,,4,0,0,9,,76,13,54,26,16,9,,,,20,33,19,14,,,,,,2,2,2,1,,,1,,,0.17,10,10,10,9
File,"PizzaD.java",1,1,1,1,4,0,3,1,,,,7,0,0,23,,26,26,5,26,,21,0,0,5,,196,47,110,57,23,50,,,,32,62,39,23,,,,,,1,1,1,1,,,0,,,0.45,23,23,23,23
File,"PointD.java",1,1,1,1,4,0,3,0,,,,3,0,0,3,,3,3,4,3,,0,0,0,3,,38,9,23,12,5,6,,,,10,16,11,5,,,,,,1,1,1,1,,,0,,,0.26,3,3,3,3
File,"PointD.java",1,1,1,1,4,0,3,1,,,,3,0,0,6,,7,7,4,7,,3,0,0,4,,56,7,36,19,8,13,,,,14,23,15,8,,,,,,1,1,1,1,,,0,,,0.36,6,6,6,6
File,"PointDCloser.java",1,1,1,1,4,0,3,0,,,,3,0,0,6,,7,7,4,7,,5,0,0,2,,57,11,36,17,8,10,,,,14,23,15,8,,,,,,1,1,1,1,,,0,,,0.28,6,6,6,6
File,"PointDCloserSimplify.java",1,1,1,1,4,0,3,0,,,,3,0,0,6,,7,7,4,7,,5,0,0,2,,60,12,37,18,8,11,,,,15,24,16,8,,,,,,1,1,1,1,,,0,,,0.30,6,6,6,6
File,"PointDCloserSimplify.java",1,1,1,1,4,0,3,0,,,,3,0,0,8,,9,9,6,9,,6,0,0,3,,79,12,44,21,9,23,,,,17,28,19,9,,,,,,1,1,1,1,,,0,,,0.52,8,8,8,8
File,"QingJiaoRouSi.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,10,2,8,5,1,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
Package,"ReCall",1,1,1,1,11,0,5,4,,,,7,1,0,,5,,12,2,13,,0,2,0,11,,157,24,79,29,34,54,,,,35,56,31,25,,,,,,5,5,5,1,,,2,,,0.68,16,16,16,12
Public Interface,"ReCall.Callback",0,0,0,0,0,0,0,0,0,0,2,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,3,2,0,4,,,,1,2,2,0,,,,,,0,0,0,0,,0,0,,0,1.33,0,0,0,0
Public Abstract Method,"ReCall.Callback.receive",,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,1,1,0,4,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,4.00,0,0,0,0
Public Class,"ReCall.Stranger",1,1,1,1,6,0,4,2,2,1,0,,0,0,,,,4,1,4,4,0,1,0,3,,35,5,22,7,9,8,,,,7,13,7,6,,,,,,1,1,1,1,,1,0,,75,0.36,4,4,4,4
Public Constructor,"ReCall.Stranger.Stranger",,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Method,"ReCall.Stranger.askQuestion",,,,,,,,,,,,,,,,,,,,,,,,,,1,18,1,9,1,6,8,2,1,0,3,5,2,3,1,1,1,1,0,,,,,0,,0,0,,0.89,1,1,1,1
Anonymous Class,"ReCall.Stranger.askQuestion.(Anon_1)",1,1,1,1,8,0,3,5,1,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,5,0,4,5,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,1.00,1,1,1,1
